ID,nest,year,firstFound,lastPresent,lastChecked,fate,ageDay1,site,rat5,rat6,rat7,rat8,rat9,rat10,mouse5,mouse6,mouse7,mouse8,mouse9,mouse10,habitat,orientation,proximate_village,elevation,nest_width,nest_height,nest_lenght,chamber,substrate,walls,vegetation_cover,curved_entrance,predated,predator
12,15F,2010,3,3,4,1,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,1,30,14,130,yes,rock,no,0,0,1,cat
13,156e,2010,3,10,11,1,-2,Fonte Velha,0,0,0.3,0.1,0.3,0.15,0.05,0.45,0.3,0.95,0.3,0.95,semi-natural grassland,S,200,179,78,53,110,yes,soil,no,40,1,1,rat
14,156d,2010,3,10,11,1,-2,Fonte Velha,0,0,0.3,0.1,0.3,0.15,0.05,0.45,0.3,0.95,0.3,0.95,semi-natural grassland,S,200,179,143,124,330,yes,rock,no,40,1,1,cat
15,156c,2010,2,4,5,1,-1,Fonte Velha,0,0,0.3,0.1,0.3,0.15,0.05,0.45,0.3,0.95,0.3,0.95,semi-natural grassland,S,200,179,68,58,140,yes,rock,no,40,1,1,rat
16,133b,2010,3,12,13,1,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,176,47,18,80,yes,soil,no,30,0,0,unpred
17,12b,2010,2,21,21,0,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,5,110.5,36.5,128,yes,rock,no,0,0,0,unpred
18,12a,2010,3,21,21,0,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,5,110.5,36.5,110,yes,rock,no,0,0,0,unpred
19,124F,2010,2,21,21,0,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,8,23.5,39,70,yes,rock,no,0,0,0,unpred
20,10a,2010,2,21,21,0,-1,Fonte Velha,0,0,0.3,0.1,0.3,0.15,0.05,0.45,0.3,0.95,0.3,0.95,semi-natural grassland,S,200,165,66,37,165,yes,soil,no,80,0,0,unpred
21,1011,2010,3,21,21,0,-2,Cancela do Pico,0,0.05,0.25,0.15,0.25,0.5,0.3,1,0.15,0.5,0.2,0.25,grazing land,NE,3800,222,65,40,120,yes,soil,yes,40,0,0,unpred
22,1010,2010,3,21,21,0,-2,Cancela do Pico,0,0.05,0.25,0.15,0.25,0.5,0.3,1,0.15,0.5,0.2,0.25,grazing land,NE,3800,221,11,26,56,yes,soil,yes,40,1,0,unpred
23,1009,2010,3,10,11,1,-2,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,160,16,15,66,no,soil,no,60,1,1,cat
24,1008,2010,3,21,21,0,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,19,32,56,115,yes,rock,no,0,0,0,unpred
25,1007,2010,2,21,21,0,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,13,26,18,64,yes,rock,no,0,0,0,unpred
26,1006,2010,1,21,21,0,0,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,19,47,16,100,yes,rock,no,0,0,0,unpred
27,1004,2010,3,10,11,1,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,176,80,21,62,yes,soil,no,30,0,1,cat
28,1003,2010,3,13,14,1,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,167,39,55,150,yes,rock,no,80,0,1,cat
29,1002,2010,3,21,21,0,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,161,51,17,60,yes,soil,no,30,0,0,unpred
30,1001,2010,2,12,13,1,-1,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,174,29,13,25,no,soil,no,20,0,0,unpred
31,831,2010,1,10,11,1,0,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,17,60,32,30,yes,rock,no,0,0,1,cat
32,830,2010,2,9,10,1,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,18,20,12.5,48,yes,rock,no,0,0,1,cat
33,829,2010,2,11,12,1,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,18,32,56,94.5,yes,rock,no,0,0,1,cat
34,828,2010,2,21,21,0,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,18,36,26,50,yes,rock,no,0,0,0,unpred
35,827,2010,3,13,14,1,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,5,55.5,64,105,yes,rock,no,0,0,1,cat
36,826,2010,2,13,14,1,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,9,32,25,48,yes,rock,no,0,0,1,cat
37,825,2010,3,9,10,1,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,5,80,11,140,yes,rock,no,0,0,1,cat
38,824,2010,2,2,3,1,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,9,85,34,134,yes,rock,no,0,0,1,cat
39,821,2010,2,21,21,0,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,5,88,71,121,yes,rock,no,0,0,0,unpred
40,819,2010,1,12,13,1,0,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,5,48,27,46,yes,rock,no,0,0,0,unpred
41,817,2010,2,10,11,1,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,1,45,44,126,yes,rock,no,0,0,1,cat
42,811,2010,3,12,13,1,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,5,26,36,140,yes,rock,no,0,0,1,cat
43,810,2010,3,6,7,1,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,8,29,30,157,yes,rock,no,0,0,1,rat
44,808,2010,2,11,12,1,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,12,42,38,124,yes,rock,no,0,0,1,cat
45,805,2010,1,21,21,0,0,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,32,26.5,24,43,yes,rock,no,0,0,0,unpred
46,804,2010,2,21,21,0,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,10,41.5,12,42,yes,rock,no,0,0,0,unpred
47,803,2010,3,10,11,1,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,1,21,34,36,yes,rock,no,0,0,1,cat
48,802,2010,3,21,21,0,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,12,73,47,136,yes,rock,no,0,0,0,unpred
49,801,2010,2,12,13,1,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,9,35,103,115,yes,rock,no,0,0,0,unpred
50,222,2010,2,10,11,1,-1,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3705,200,156,43,100,yes,soil,no,30,0,1,cat
51,220,2010,3,12,13,1,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3701,175,37,30,65,yes,soil,no,70,0,1,cat
52,219,2010,2,21,21,0,-1,Fonte Velha,0,0,0.3,0.1,0.3,0.15,0.05,0.45,0.3,0.95,0.3,0.95,semi-natural grassland,S,200,145,35,15,100,yes,soil,no,40,1,0,unpred
53,218,2010,2,21,21,0,-1,Fonte Velha,0,0,0.3,0.1,0.3,0.15,0.05,0.45,0.3,0.95,0.3,0.95,semi-natural grassland,S,200,176,37,77,90,yes,soil,no,40,0,0,unpred
54,216,2010,2,21,21,0,-1,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,141,64,13,83,yes,soil,no,80,0,0,unpred
55,215,2010,3,6,7,1,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,9,13.5,17,115,yes,rock,no,0,0,1,rat
56,214,2010,2,16,17,1,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,6,37.5,23,77,yes,soil,no,0,0,1,cat
57,211,2010,3,21,21,0,-2,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,126,59,15,60,yes,soil,no,60,0,0,unpred
58,209,2010,3,8,9,1,-2,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,127,35,39,100,no,soil,no,50,0,1,cat
59,208,2010,2,8,9,1,-1,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3711,183,31,21,95,yes,soil,yes,20,0,1,cat
60,207,2010,3,21,21,0,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3708,173,50,18,60,yes,soil,yes,60,0,0,unpred
61,206,2010,2,5,6,1,-1,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3705,186,78,17,57,yes,soil,yes,30,0,1,rat
62,204,2010,2,12,13,1,-1,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3702,170,62,31,100,yes,soil,yes,30,0,1,cat
63,202,2010,2,21,21,0,-1,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,158,35,29,49,yes,soil,no,50,0,0,unpred
64,199,2010,3,16,17,1,-2,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,223,43,24,85,no,soil,yes,30,0,1,cat
65,178,2010,3,21,21,0,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,9,96,28,90,yes,rock,no,0,1,0,unpred
66,176,2010,1,9,10,1,0,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,16,51,37,100,yes,rock,no,0,1,0,unpred
67,171,2010,2,21,21,0,-1,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,9,51,14,86,yes,soil,no,0,0,0,unpred
68,155,2010,2,4,5,1,-1,Fonte Velha,0,0,0.3,0.1,0.3,0.15,0.05,0.45,0.3,0.95,0.3,0.95,semi-natural grassland,S,200,188,120,71,184,yes,soil,no,40,1,1,rat
69,154,2010,3,10,11,1,-2,Fonte Velha,0,0,0.3,0.1,0.3,0.15,0.05,0.45,0.3,0.95,0.3,0.95,semi-natural grassland,S,200,177,38,19,100,yes,soil,yes,40,0,1,cat
70,153,2010,1,11,12,1,0,Fonte Velha,0,0,0.3,0.1,0.3,0.15,0.05,0.45,0.3,0.95,0.3,0.95,semi-natural grassland,S,200,175,97,28,95,yes,soil,no,40,0,1,cat
71,144,2010,3,6,7,1,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,180,17,11,10,no,soil,yes,80,0,1,rat
72,143,2010,2,21,21,0,-1,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,188,50,24,120,yes,soil,yes,50,0,0,unpred
73,141,2010,3,12,13,1,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,181,18,19,100,yes,soil,no,60,0,1,cat
74,140,2010,3,21,21,0,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,175,52,36,100,yes,soil,no,70,0,0,unpred
75,139,2010,3,17,18,1,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,173,21,33,40,yes,soil,yes,80,1,1,rat
76,138,2010,2,12,13,1,-1,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,166,35,22,68,yes,soil,yes,80,0,0,unpred
77,137,2010,3,8,9,1,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,176,25,36,78,yes,soil,yes,80,0,1,cat
78,136,2010,3,10,11,1,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,186,56,29,72,yes,soil,no,20,0,1,cat
79,135,2010,3,21,21,0,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,176,109,45,145,yes,soil,no,20,0,0,unpred
80,134,2010,3,4,5,1,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,175,23,14,120,no,soil,no,30,0,1,rat
81,133,2010,2,21,21,0,-1,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,181,110,26,120,yes,soil,no,30,0,0,unpred
82,132,2010,2,21,21,0,-1,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,174,76,23,93,yes,soil,no,30,1,0,unpred
83,130,2010,3,21,21,0,-2,Pico João de Moura,0,0.45,0.5,0.65,0.5,0.65,0.15,0.9,0.5,0.35,0.5,0.25,riverbank with trees,NE,3700,151,51,38,125,yes,soil,no,40,0,0,unpred
84,124,2010,1,21,21,0,0,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,129,49,14,50,yes,soil,no,60,0,0,unpred
84,95a,2011,4,21,21,0,-18,Cancela do Pico,0.3,0.45,0.45,0.25,0.3,0.4,0.1,0.3,0.15,0.2,0.3,0.75,grazing land,NE,3800,233,27,20,84,yes,soil,yes,40,0,0,unpred
85,123,2010,3,21,21,0,-2,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,128,35,24,40,yes,soil,no,20,0,0,unpred
85,1011,2011,3,12,13,1,-12,Cancela do Pico,0.3,0.45,0.45,0.25,0.3,0.4,0.1,0.3,0.15,0.2,0.3,0.75,grazing land,NE,3800,222,65,40,120,yes,soil,yes,40,0,1,cat
86,122,2010,3,13,14,1,-2,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,128,38,13,54,yes,soil,no,20,0,0,unpred
86,1010,2011,2,14,15,1,-5,Cancela do Pico,0.3,0.45,0.45,0.25,0.3,0.4,0.1,0.3,0.15,0.2,0.3,0.75,grazing land,NE,3800,221,11,26,56,yes,soil,yes,40,1,0,unpred
87,99,2011,2,21,21,0,-5,Cancela do Pico,0.3,0.45,0.45,0.25,0.3,0.4,0.1,0.3,0.15,0.2,0.3,0.75,grazing land,NE,3800,243,24,20,90,yes,soil,yes,40,1,1,cat
87,120,2010,3,21,21,0,-2,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,141,68,27,86,yes,soil,no,60,0,0,unpred
88,98,2011,1,8,9,1,0,Cancela do Pico,0.3,0.45,0.45,0.25,0.3,0.4,0.1,0.3,0.15,0.2,0.3,0.75,grazing land,NE,3800,234,33,23,50,yes,soil,yes,100,0,1,cat
88,119,2010,3,13,14,1,-2,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,5,24,24,74,yes,rock,no,0,0,1,cat
89,97,2011,3,17,18,1,-12,Cancela do Pico,0.3,0.45,0.45,0.25,0.3,0.4,0.1,0.3,0.15,0.2,0.3,0.75,grazing land,NE,3800,244,37,27,1,yes,soil,no,80,0,0,unpred
89,116,2010,2,21,21,0,-1,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,138,46,93,116,yes,soil,no,70,0,0,unpred
90,30,2011,2,11,12,1,-5,Cancela do Pico,0.3,0.45,0.45,0.25,0.3,0.4,0.1,0.3,0.15,0.2,0.3,0.75,grazing land,NE,3800,233,28,13,40,yes,soil,no,90,0,1,cat
90,115,2010,2,21,21,0,-1,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,136,48,23,90,no,soil,no,60,1,0,unpred
91,29,2011,3,21,21,0,-12,Cancela do Pico,0.3,0.45,0.45,0.25,0.3,0.4,0.1,0.3,0.15,0.2,0.3,0.75,grazing land,NE,3800,231,60,10,120,yes,soil,no,80,0,1,cat
91,113,2010,3,21,21,0,-2,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,129,35,13,55,no,soil,no,80,0,0,unpred
92,28,2011,3,17,18,1,-12,Cancela do Pico,0.3,0.45,0.45,0.25,0.3,0.4,0.1,0.3,0.15,0.2,0.3,0.75,grazing land,NE,3800,238,279,27,160,yes,soil,no,100,0,0,unpred
92,112,2010,2,21,21,0,-1,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,116,93,44,2,yes,rock,yes,10,1,0,unpred
93,27,2011,3,12,13,1,-12,Cancela do Pico,0.3,0.45,0.45,0.25,0.3,0.4,0.1,0.3,0.15,0.2,0.3,0.75,grazing land,NE,3800,238,50,10,100,yes,soil,no,100,1,0,unpred
93,110,2010,4,11,12,1,-3,Fajã Rochosa,0,0,0.15,0,0.15,0.2,0.2,0.25,0,0.25,0,0.3,coast with rocks,SE,590,11.5,76.5,69,121,yes,rock,yes,0,0,1,cat
94,110,2010,3,21,21,0,-2,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,115,71,65,180,yes,rock,yes,10,0,0,unpred
94,80b,2011,4,9,10,1,-18,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,5,57,52,110,yes,rock,no,0,0,1,cat
95,108,2010,3,21,21,0,-2,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,124,71,28,75,yes,rock,yes,80,0,0,unpred
95,80a,2011,2,9,10,1,-5,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,5,26,75,114,yes,rock,no,0,0,0,unpred
96,106,2010,3,12,13,1,-2,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,128,112,21,180,yes,rock,yes,20,0,0,unpred
96,215B,2011,3,9,10,1,-12,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,14,52,32,133,yes,rock,no,0,0,1,rat
97,105,2010,3,21,21,0,-2,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,131,176,25,14,40,yes,rock,yes,80,1,0,unpred
97,12b,2011,3,7,8,1,-12,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,5,110.5,36.6,129,yes,rock,no,0,0,0,unpred
98,104,2010,2,11,12,1,-1,Miradouro do Portal,0.05,0.05,0.2,0.15,0.2,0.4,0.3,0.3,0.25,0.75,0.25,0.4,Arundo donax,S,180,133,60,29,67,yes,soil,yes,80,1,1,rat
98,12a,2011,2,6,7,1,-5,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,5,110.5,36.6,111,yes,rock,no,0,0,1,cat
99,99,2010,3,21,21,0,-2,Cancela do Pico,0,0.05,0.25,0.15,0.25,0.5,0.3,1,0.15,0.5,0.2,0.25,grazing land,NE,3800,243,24,20,90,yes,soil,yes,40,1,0,unpred
99,124F,2011,2,17,18,1,-5,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,8,23.5,39,70,yes,rock,no,0,0,1,rat
100,98,2010,3,21,21,0,-2,Cancela do Pico,0,0.05,0.25,0.15,0.25,0.5,0.3,1,0.15,0.5,0.2,0.25,grazing land,NE,3800,234,33,23,50,yes,soil,yes,100,0,0,unpred
100,1008,2011,3,8,9,1,-12,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,19,32,56,115,yes,rock,no,0,0,1,cat
101,97,2010,3,21,21,0,-2,Cancela do Pico,0,0.05,0.25,0.15,0.25,0.5,0.3,1,0.15,0.5,0.2,0.25,grazing land,NE,3800,244,37,27,1,yes,soil,no,80,0,0,unpred
101,1007,2011,2,15,16,1,-5,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,13,26,18,64,yes,rock,no,0,0,0,unpred
102,94,2010,2,21,21,0,-1,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,187,56,16,84,yes,soil,no,80,0,0,unpred
102,1006,2011,3,11,12,1,-12,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,19,47,16,100,yes,rock,no,0,0,0,unpred
103,93,2010,1,9,10,1,0,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,196,50,19,86,yes,soil,no,70,0,1,cat
103,831,2011,2,21,21,0,-5,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,17,60,32,30,yes,rock,no,0,0,1,cat
104,89,2010,3,9,10,1,-2,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,197,60,16,56,no,soil,no,60,0,1,cat
104,830,2011,2,11,12,1,-5,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,18,20,12.6,49,yes,rock,no,0,0,0,unpred
105,88,2010,3,4,5,1,-2,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,200,56,115,47,yes,rock,no,40,0,1,rat
105,829,2011,2,11,12,1,-5,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,18,32,57,94.6,yes,rock,no,0,0,1,cat
106,87,2010,2,21,21,0,-1,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,203,28,24,84,yes,rock,no,40,0,0,unpred
106,828,2011,2,16,17,1,-5,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,18,36,26,50,yes,rock,no,0,0,0,unpred
107,86,2010,3,21,21,0,-2,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,207,70,14,60,yes,soil,no,40,0,0,unpred
107,827,2011,2,9,10,1,-5,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,5,55.5,64,105,yes,rock,no,0,0,1,cat
108,85,2010,3,11,12,1,-2,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,217,46,37,88,yes,soil,no,50,0,1,cat
108,826,2011,3,3,4,1,-12,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,9,32,25,48,yes,rock,no,0,0,1,cat
109,83,2010,3,10,11,1,-2,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,208,29,15,60,yes,soil,no,80,0,1,cat
109,825,2011,2,13,14,1,-5,Fajã Rochosa,0.05,0.05,0.1,0.15,0,0.15,0,0.55,0.55,0.1,0.1,0.45,coast with rocks,SE,590,5,80,11,140,yes,rock,no,0,0,1,rat
110,82,2010,1,21,21,0,0,Pão de Açúcar,0.05,0.2,0.4,0.35,0.4,0.4,0.15,0.8,0.4,0.7,0.4,0.25,semi-natural grassland,SW,500,222,17,17,45,yes,soil,no,50,0,0,unpred
