ID,nest,year,firstFound,lastPresent,lastChecked,fate,ageDay1,site,rat5,rat6,rat7,rat8,rat9,rat10,mouse5,mouse6,mouse7,mouse8,mouse9,mouse10,habitat,orientation,proximate_village,elevation,nest_width,nest_height,nest_lenght,chamber,substrate,walls,vegetation_cover,curved_entrance,predated,predator
228,143,2009,2,21,21,0,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,188,50,24,120,yes,soil,yes,50,0,0,unpred
228,144,2009,2,7,8,1,-14,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,180,17,11,10,no,soil,yes,80,0,1,cat
228,145,2009,2,7,8,1,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,175,97,28,95,yes,soil,no,100,0,1,cat
228,153,2009,2,21,21,0,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,175,97,28,95,yes,soil,no,40,0,0,unpred
228,154,2009,2,21,21,0,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,177,38,19,100,yes,soil,yes,40,0,0,unpred
228,155,2009,2,11,12,1,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,188,120,71,184,yes,soil,no,40,1,1,cat
228,171,2009,2,7,8,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,9,51,14,86,yes,soil,no,0,0,1,cat
228,176,2009,2,9,10,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,16,51,37,100,yes,rock,no,0,1,1,cat
228,192,2009,2,21,21,0,-12,Fonte Velha,0.2,0.2,1,1,1,1,0.6,0.6,0.8,0.8,0.8,0.8,semi-natural grassland,S,200,246,34,18,37,yes,soil,no,40,0,0,unpred
228,193,2009,2,8,9,1,-11,Fonte Velha,0.2,0.2,1,1,1,1,0.6,0.6,0.8,0.8,0.8,0.8,semi-natural grassland,S,200,194,29,48,100,yes,soil,no,40,0,1,cat
228,194,2009,2,2,3,1,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,150,36,29,58,yes,soil,no,40,0,1,cat
228,199,2009,2,21,21,0,-12,Pão de Açúcar,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,semi-natural grassland,SW,500,223,43,24,85,no,soil,yes,50,0,0,unpred
228,203,2009,3,11,12,1,-14,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,165,62,31,100,yes,soil,yes,30,0,0,unpred
228,204,2009,2,11,12,1,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3701,170,62,31,100,yes,soil,yes,30,0,1,cat
228,205,2009,2,21,21,0,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3703,178,71,20,60,yes,soil,yes,30,0,0,unpred
228,206,2009,1,21,21,0,-1,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3704,186,78,17,57,yes,soil,yes,30,0,0,unpred
228,207,2009,3,9,11,1,-14,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3707,173,50,18,60,yes,soil,yes,60,0,1,rat
228,208,2009,2,9,11,1,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3710,183,31,21,95,yes,soil,yes,20,0,1,cat
228,209,2009,2,21,21,0,-10,Miradouro do Portal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,Arundo donax,S,180,127,35,39,100,no,soil,no,50,0,0,unpred
228,211,2009,2,21,21,0,-10,Miradouro do Portal,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,Arundo donax,S,180,126,59,15,60,yes,rock,no,60,0,0,unpred
228,212,2009,1,10,11,1,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,11,24,30,48,yes,rock,no,0,0,1,rat
